Type,Description,Municipality,Community,Update,ExpiryDate,ContractDate,SoldDate,ListPrice,Sold Price,Taxes,StreetName,StNumber,LSC,Days,perc,Bedroom,BedPlus,Baths,Front,ParkingDriveSpaces,Depth,GarageType,Pool,MLS,RemarksForBrokers,RemarksForClients,Extras,Address,PostalCode,Municipality District,Basement1,Basement2
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/15/2021,6/3/2021,3/3/2021,3/11/2021,"$1,168,000","$1,219,999","$5,608.83",Duffin,123,Sld,8,104,4,,4,36.95,2,96,Built-In,None,N5135928,"1/2-Hr Showing From 10:00 A.M. To 7:30 P.M. Daily W/ 1 Hour Advance Notice. Please Observe Covid-19 Protocol. Offers, If Any, To Be Reviewed At 7:00 P.M.In March 11. Pls Attach Sch B, Disclosure, Fr 801 & Send To Louismak@Remax.Net Before 5:00 P.M. La Is Related To Seller.","Stunning Detached Home W/Tunes Of Upgs Well Kept By Original Owner. In A Sought-After Tranquil Neighborhood. Very Practical Layout: Hardwood Flooring Thrut, 4-Bdr, 2 Ensuite & 1 Shared Full Baths In 2/F. 9-Ft Ceiling In M/F, 2 Storey High Ceiling In Foyer, Open Living/Dining Allows Various Functions, B/I Speakers In Family Rm And Backyard, Sizable Eat-In Kitchen W/O To Yard. Steps Away From Park, Township Facilities And Minutes Drives To All Amenities.","Ss Appls: Fridge,Glasstop Stove, Overrange Exhaust, B/I Dishwasher, Washer & Dryer W/Pedestal Drawer. Gas Fireplace, Water Softener, Uc Water Filter, Crystal Chandalier In Staircase, Crystal Ceiling Lights In Dining Rm. Hotwater Tank Rental",123 Duffin Dr,L4A0X3,Whitchurch-Stouffville,Full,Unfinished
Att/Row/Twn...,2-Storey,Whitchurch-Stouffville,Stouffville,2/4/2021,4/3/2021,2/2/2021,2/3/2021,"$798,888","$900,000","$4,050.82",Durhamview,75,Sld,1,113,3,,3,24.57,2,92,Attached,None,N5102125,Pls Attach Sch B And 801 To All Offers. Showings After 11:00Am. Max 30Min Appt Buyer/Buyer Agent To Verify Measurements/Taxes .Please Sign Attached Covid Form. Offers To Be Held On Monday Feb 8 @ 7:00Pm (Seller Has The Right To View Pre Emptive Offer),"Come Home To The Gorgeous Freehold Town Home In Stouffville. Hardwood Floors On Main Level. Quartz Countertops, Brand New Stainless Steel Appliances In The Kitchen. Good Sized Bedrooms And Backyard. California Shutter Throughout The Home, Park 2 Cars On The Driveway. Move In Ready.","Includes:S/S Fridge, Stove, Dishwasher And Hood Fan. Washer And Dryer(White), All Elfs, Window Coverings, Garage Door Opener With Remotes. Umbrella In Back",75 Durhamview Cres,L4A 1S4,Whitchurch-Stouffville,Unfinished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/8/2021,5/7/2021,2/7/2021,,"$999,000",,"$5,041.86",Edgehill,31,Ter,0,,4,,3,47.39,3,90,Attached,None,N5107479,"2Hrs Notice,Showing Between 11Am-8Pm.T&M To Be Verified By Buyer Or Buyer Agent. Offer If Any Will Be Reviewed On Mon Feb 15th@6Pm.Register By 4Pm.Seller Is Rrea. Attach Disclosure/Sch B&C W/Offer. Seller Reserve The Right To Accept Pre-Emptive Offers.","Stunning Sun-Filled Starlane Home. $$ Spend On Upgrade. Maple Hardwood Flooring And Oak Staircase Through Out. Upgrades Designers Porcelain Tiles In Kitchen And Entry Way. Double Door Entry. Fantastic Open Concept Layout With 9"" Ceilings, Pot Light Through Out. Master Ensuite With Glass Enclosed Shower With Water Fountain Shower Head, Stand Alone Bath Tub And Double Sink. Backyard Fully Fenced And Interlocked, Great Place For Family Gatherings.","S/S Double Door Fridge/Stove/Rangehood/Dishwasher. Kenmore Front Load Washer & Dryer, Water Softener, All Elf, Garage Opener. Hwt (Rental)",31 Edgehill Ave,L4A1S6,Whitchurch-Stouffville,Unfinished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/16/2021,5/7/2021,2/7/2021,2/14/2021,"$999,000","$1,188,000","$5,041.86",Edgehill,31,Sld,7,119,4,,3,47.39,3,90,Attached,None,N5107480,"2Hrs Notice,Showing Between 11Am-8Pm.T&M To Be Verified By Buyer Or Buyer Agent. Offer If Any Will Be Reviewed On Mon Feb 15th@6Pm.Register By 4Pm.Seller Is Rrea. Attach Disclosure/Sch B&C W/Offer. Seller Reserve The Right To Accept Pre-Emptive Offers.","Stunning Sun-Filled Starlane Home. $$ Spend On Upgrade. Maple Hardwood Flooring And Oak Staircase Through Out. Upgrades Designers Porcelain Tiles In Kitchen And Entry Way. Double Door Entry. Fantastic Open Concept Layout With 9"" Ceilings, Pot Light Through Out. Master Ensuite With Glass Enclosed Shower With Water Fountain Shower Head, Stand Alone Bath Tub And Double Sink. Backyard Fully Fenced And Interlocked, Great Place For Family Gatherings.","S/S Double Door Fridge/Stove/Rangehood/Dishwasher. Kenmore Front Load Washer & Dryer, Water Softener, All Elf, Garage Opener. Hwt (Rental)",31 Edgehill Ave,L4A1S6,Whitchurch-Stouffville,Unfinished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,1/22/2021,7/31/2021,1/12/2021,1/21/2021,"$788,000","$1,282,888","$4,889.66",Elmeade,50,Sld,9,163,3,1,3,29.72,1,90,Built-In,None,N5082425,"Lock Box For Easy Showings!Please Leave The Lights On.No Preemptive Offer! Offers Presentation 7 Pm On Jan 21st, 2021. Please Attach Schedule B,Form 801, And 5% Bank Draft With Your Offer.Must Call If Late Or Cancelling.Thank You!","Backs Onto Ravine.Stunning 3+1 Bedrooms Detached Home In Stouffville.**Well Maintained**Open Floor Concept, Upgrade Hardwood Fl(2018) Throughout On Main & 2nd Fl.Pot Lights & Smooth Ceiling.New Mirror Wall, Upgrade Staircase Railing&Iron Spindles(2018).Upgrade Open Concept Kitchen With/Granite Counter, Mirror Backsplash.Finished Basement With 1 Bedroom&Rec Room, Large Deck In Backyard.No Sidewalk!Direct Access To Garage.Close To All Amenities.","S/S Appliances:Fridge, Stove, B/I Dishwasher,B/I Oven,Micowave Oven, Washer & Dryer(2018).Water Softener,All Window Coverings, Upgard Light Fixtures.Hwt(Rental)",50 Elmeade Lane,L4A0P6,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/26/2021,6/30/2021,2/26/2021,,"$1,205,800",,"$5,200.00",Eva Grove,22,Ter,0,,4,,4,42.85,4,100,Attached,None,N5129590,Please Follow All Covid Guidelines. The Seller Will Be Available March 3rd To Graciously Review Any Offers. Kindly Register By 2:00 Pm And Email To Rtinney1954@Gmail.Com By 4:00Pm Thank You,"Perfection Redefined In A Wonderful Stouffville Community. Ideally Located On A Child Safe Court & Backing To Green Space. This Exquisite Family Home Boasts Thousands In Upgrades, No Expense Spared. Featuring 9 Foot Ceilings, Hardwood Throughout, Upgraded Staircase, Crown Moulding, Coffered Ceilings, Extensive Use Of Pot Lights & Much More. Situated On A Premium Lot Featuring A Back Yard Oasis Offering Complete Privacy. Natural Stone Porch, Walkway & Patio.","Wolf Gas Stove & Range Hood, Sub Zero Fridge, Bi/Dw, Washer, Dryer, Custom Light Fixtures & Window Coverings, Custom Kitchen Cabinets, B/I S/S & Speakers, B.I Desk, Designer Feature Wall & Divider, Inground S/S, Professionally Landscaped",22 Eva Grove Crt,L4A0S4,Whitchurch-Stouffville,Full,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/4/2021,6/30/2021,2/26/2021,,"$1,258,000",,"$5,579.00",Eva Grove,22,Ter,6,,4,,4,42.85,4,100,Attached,None,N5129674,Please Follow All Covid Guidelines. The Seller Will Be Available March 3rd To Graciously Review Any Offers. Kindly Register By 2:00 Pm And Email To Rtinney1954@Gmail.Com By 4:00Pm Thank You,"Perfection Redefined In A Wonderful Stouffville Community. Ideally Located On A Child Safe Court & Backing To Green Space. This Exquisite Family Home Boasts Thousands In Upgrades, No Expense Spared. Featuring 9 Foot Ceilings, Hardwood Throughout, Upgraded Staircase, Crown Moulding, Coffered Ceilings, Extensive Use Of Pot Lights & Much More. Situated On A Premium Lot Featuring A Back Yard Oasis Offering Complete Privacy. Natural Stone Porch, Walkway & Patio.","Wolf Gas Stove & Range Hood, Sub Zero Fridge, Bi/Dw, Washer, Dryer, Custom Light Fixtures & Window Coverings, Custom Kitchen Cabinets, B/I S/S & Speakers, B.I Desk, Designer Feature Wall & Divider, Inground S/S, Professionally Landscaped",22 Eva Grove Crt,L4A0S4,Whitchurch-Stouffville,Full,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/5/2021,6/30/2021,3/5/2021,,"$1,301,800",,"$5,500.00",Eva Grove,22,Ter,0,,4,,4,42.85,4,100,Attached,None,N5138985,Please Follow All Covid Guidelines And Allow Reasonable Notice For Showings. Kindly E-Mail Any Offer To Rtinney1954@Gmail.Com,"Perfection Redefined In A Wonderful Stouffville Community. Ideally Located On A Child Safe Court & Backing To Green Space. This Exquisite Family Home Boasts Thousands In Upgrades, No Expense Spared. Featuring 9 Foot Ceilings, Hardwood Throughout, Upgraded Staircase, Crown Moulding, Cofered Ceilings, Extensive Use Of Pot Lights & Much More. Situated O N A Premium Lot Featuring A Back Yard Oasis Offering Complete Privacy. Natural Stone Porch, Walkway & Patio.","Wolf Gas Tove & Range Hood, Sub Zero Fridge, Bi/Dw, Washer, Dryer, Custom Light Fixtures & Window Coverings, Custom Kitchen Cabinets, B/I S/S & Speakers, B/I Desk, Designer Feature Wall & Divider, Inground S/S, Professionally Landscaped",22 Eva Grove Crt,L4A0S4,Whitchurch-Stouffville,Full,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/9/2021,6/30/2021,3/5/2021,3/7/2021,"$1,318,000","$1,310,000","$5,500.00",Eva Grove,22,Sld,2,99,4,,4,42.85,4,100,Attached,None,N5139563,Please Follow All Covid Guidelines And Allow Reasonable Notice For Showings. Kindly E-Mail Any Offer To Rtinney1954@Gmail.Com,"Perfection Redefined In A Wonderful Stouffville Community. Ideally Located On A Child Safe Court & Backing To Green Space. This Exquisite Family Home Boasts Thousands In Upgrades, No Expense Spared. Featuring 9 Foot Ceilings, Hardwood Throughout, Upgraded Staircase, Crown Moulding, Coffered Ceilings, Extensive Use Of Pot Lights & Much More. Situated On A Premium Lot Featuring A Back Yard Oasis Offering Complete Privacy. Natural Stone Porch, Walkway & Patio.","Wolf Gas Stove & Range Hood, Sub Zero Fridge, Bi/Dw, Washer, Dryer, Custom Light Fixtures & Window Coverings, Custom Kitchen Cabinets, B/I S/S & Speakers, B/I Desk, Designer Feature Wall & Divider, Inground S/S, Professionally Landscaped",22 Eva Grove Crt,L4A0S4,Whitchurch-Stouffville,Full,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,1/8/2021,4/15/2021,1/6/2021,1/8/2021,"$1,150,000","$1,160,000","$5,362.45",Fairgate,39,Sld,2,101,3,2,4,62.38,4,111,Attached,None,N5076987,"Contact 3rd La W/ Any Inquiries/Offers-Vanessa Burton 416 454 9646/Vanessa@Trentaduetorres.Com. Sellers/Agent Do Not Warrant Retrofit Status Of Bsmnt. Buyer/Buyer's Agent To Confirm All Taxes/Info. Pls Respect Covid Protocol. 30 Min Showings, 2 Clients + Agent Only. Thank You!","Beautiful Family Home In The Heart Of Stouffville On A Premium Pool-Sized Corner Lot. Hardwood Floors Throughout. Main Floor Laundry/Mud Room W/ Garage Access. Stunning Spiral Staircase Surrounded By Windows Floods The Home W/ Beautiful Natural Light. Bonus 2nd Floor Family Room W/ Vaulted Ceiling & Gas Fireplace-Could Easily Be Converted To 4th Bedroom. Finished Basement W/ Separate Entrance, Full Kitchen, 4 Pc Bath & 2 Bedrooms.","Great Location On A Quiet, Family Friendly Street. Incl: Fridge(2), Stove (2), Dishwasher, Washer & Dryer. Sprinkler System 2020, Furnace & Ac 2016. *See Virtual Tour!",39 Fairgate Cres,L4A1J7,Whitchurch-Stouffville,Finished,Sep Entrance
Detached,Bungalow,Whitchurch-Stouffville,Stouffville,1/20/2021,1/19/2021,10/18/2020,,"$1,995,000",,"$5,007.37",Fairview,124,Exp,93,,3,1,2,120,4,130,Attached,None,N4961437,"Do Not Bother Tenants Or Walk Property! Please Respect Owner's Wishes. Please Attach Schedule ""B""/Form 801 To All Offers","Two Fully Serviced And Registered 60' X 130' Foot Mature Lots. Municipal Addresses Assigned: 124 And 128 Fairview Avenue. Walking Distance To Schools, Steps To Shopping, Transportation And More! Excellent Opportunity For The Extended Family To Build Side By Side! *Potential 3rd Lot*",2 Registered And Services Lots. 60' X 130' Feet Each,124 Fairview Ave,L4A1E5,Whitchurch-Stouffville,Finished,Sep Entrance
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,1/20/2021,11/30/2020,7/12/2020,1/15/2021,"$1,049,999","$1,075,000","$5,645.06",Fernglen,122,Sld,187,102,4,1,5,64.3,2,89,Attached,None,N4827636,Please Follow Covid Precautions. Buyer & Buyer Agent To Verify All Measrmnts/Taxes. Seller/Agent Do Not Warrant Retrofit Status Of Bsmt. Easy To Show W/Lb. 2Hr Notice Req. Offers Anytime. Please Email La At Shan.Realtor@Gmail.Com With 24Hours Irrevocable,"**Priced To Sell**Extra Large Corner Lot**Mattamy Built**Situated In Quiet Child Friendly St. This Home Boasts Over 2600 Sqft In Size+Over 800 Sqft Of Prof. Fin.Bsmt. Over 130K Spent In Quality Upgrades, 9' Ceiling, Shutters Thru/O, Hrdwd Flr, Modern Kitchen W/Quartz Cntertop, Bcksplsh, 7"" Baseboards, Pot Lights, Water Softener, Garden Shed & Oak Staircase & So Much More. Min. To 404/407, Schools, Parks & Trails & Golf Courses, Shopping/Dining*A Must See*","Existing S/S Fridge, S/S Gas Stove, B/I Dishwasher, Washer And Dryer, Garden Shed, Gdo, Water Softener System, Existing Window Coverings, Light Fixtures, Cac, Cvac.",122 Fernglen Cres,L4A0Z7,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/15/2021,6/30/2021,2/1/2021,,"$1,388,888",,"$5,565.35",Filbert,18,Ter,14,,4,2,4,41.65,4,102,Built-In,None,N5099572,Please Attach Sch B & 801 With Offer. Buyer To Verify All Measurements & Taxes. Email Offers To Keith.Propertymax@Gmail.Com. Seller/La Do Not Warrant Retrofit Status Of Basement.,"Upgraded 4 Bdrm + 2Bdrm In Bsmt With Sep Entrance. Beautiful Quiet Detached Family Home On A Premium Lot. Double Door Entrance To A Bright & Spacious Floor Plan. Travertine Tiled Foyer & Kitchen Throughout Foyer & Kitchen With Granite Counters. 9' Ceilings On Main Floor, California Shutters & Access To Garage. Hardwood Floors Throughout With Oak Staircase. 2nd Floor & Bsmt Laundries(2), Custom Deck, Exterior And Interior Pot Lights Throughout The House.","S/S(Fridge,Stove,Dishwasherb/I Microwave/Range).Washer&Dryer.Bsmt Fridge,Stove,Washer&Dryer,All Elf's,All Window Coverings,Water Softener,Security Camera,Ac,Central Vac&Equip.Pls Complete Disclosure.Must Follow All Covid 19 Guide,Wear Masks",18 Filbert Crt,L4A0R7,Whitchurch-Stouffville,Finished,Sep Entrance
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/1/2021,7/23/2021,2/10/2021,2/27/2021,"$1,190,000","$1,165,000","$5,087.08",Firbank,120,Sld,17,98,4,,4,42,2,86,Attached,None,N5110228,"Showing Tue To Sat (Feb 23-27) 10Am-1Pm & 3-6Pm W/24Hour Notice. Buyer/Agent To Verify All Measurements & Tax. Follow Covid Protocol, Max 3 Ppl Per Showing. Attach 801 And Sch B.","42"" Lot, Double Garage Home Located In Beautiful & Quiet Neighbourhood. Double-Door Entry, Hardwood Floors With Main Floor Laundry. Large Family Room With Fireplace And Walk-Out To Deck & Yard. Finished Basement With Large & Bright Windows. Close To Schools, Community Centre, Restaurants, Grocery/Shopping, Highways, Etc.","All Existing Kitchen Appliances, Window Coverings And Light Fixtures, Closet Organizers And Garage Door Remotes.",120 Firbank Lane,L4A0G6,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/23/2021,6/30/2021,2/10/2021,2/18/2021,"$999,900","$1,060,000","$5,594.34",Flint,1,Sld,8,106,5,,5,59.06,3,102,Attached,None,N5110693,"Easy Showings,Offers Will Be Reviewed At 7 Pm On Feb 18th, Please Register Offer By 4 Pm,No Sched B, Bank Draft/Certified Cheque, 5% Deposit, Contact Steve Cicchillo 416-648-7441 Stevecicchillo@Gmail.Com","Spacious 5 Bedroom Home In The Close Proximity Of Main Street And Community Centre Of Stouffville. Sunny And Bright Window Views.Main Floor Room Converted Into Bedroom & Ensuite Bathroom. Harwood Floors On Main Floor.Big Master With Walk-In Closet Dble Car Garage With 3 Wide Parking Drive. Finished Basement With Kitchen Layout With Hookups For Dishwasher. Corner Lot With Extended Side Yard,Large 26X12 Feet Deck,Raised Gardening Beds. New Garage Doors 2020","Fridge, Stove, B/I Dishwasher, Washer And Dryer, Water Softener Updated 2020, Reverse Osmosis/Water Filtration. 2017 All Elf Except Some Exclusions. All Window Coverings. Roof 2009,Hot Water Heater (Rental)",1 Flint Cres,L4A6C4,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/22/2021,6/21/2021,3/21/2021,3/22/2021,"$899,000","$1,210,000","$5,137.81",Forsyth Farm,571,Sld,1,135,4,,3,39.4,2,85,Attached,None,N5161252,Offers To Be Reviewed March 29 @ 7Pm. Register 5Pm. Sellers Reserves The Right To Review & Accept Pre-Emptive Offers Rental Hwt. Sanitize @Enter Leave Lights On Covid Protocols In Place.,"Freshly Painted Well Maintained Spacious 4 Bedroom Family Home In Desired Neighborhood! Unique Beautiful Main Floor Open Concept With 9' Height Ceiling Hardwood Floors Kitchen & Bath, Backsplash, S/S Appliances, Potlights. Upgrades: Front/Back Yard Interlock (2020) 2nd Floor Hardwood (2018) Kitchen/3 Bath Counter Top (2020), Fridge(2020), Stove (2020), Dishwasher (2017), Entrance Door And Mod Area(2020) Huge Professionally Done Deck (2016) And Water Softener","S/S Fridge, S/S Stove, S/S Dish Washer, White Washer Dryer, All Window Coverings, Garage Door Opener & Remotes. Gas Fireplace. Dining Room Light Fixture, Water Softener",571 Forsyth Farm Dr,L4A0N8,Whitchurch-Stouffville,Full,Unfinished
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/16/2021,5/10/2021,2/10/2021,2/16/2021,"$1,059,000","$1,200,000","$5,140.00",Forsyth Farm,599,Sld,6,113,4,,3,39.4,2,89,Attached,None,N5110941,"Offer Pres Feb 17th At 7Pm,Pls Reg By 4Pm,Sellers Reserve Right To Accept Preemptive Offer.Certify Dep Chq&Attach Schedule ""B,C""&Form 801 To Offers.Buyer/Buyer's Agent Has To Verify Measurements&Taxes.Send Covid Showing Instruction Form To Shamashtika@Gmail.Com , Seller Is Rrea.","Family Home Situated In One Of The Most Sought Out Communities.Stunning Open Concept Hallway Design W/Premium Cherry Hardwood & Pot Lights,Smooth Ceiling & Half Wall Connected To Kitchen W/Granite Countertop.$$$ Spent In Upgrades.Upgrades Incl: Hardwoods Throughout, Air Conditioner, California Shutters, Smooth Ceiling,Pot Lights On Main Floor, Fully Upgraded Washrooms On The Second Floor &Professional Interlock In Front Leading To A Raised Stone Patio In Yard","S/S Fridge, Gas Stove, Dishwasher, Hood Fan, Microwave. All Elf's, Washer & Dryer. Mins Walk To Harry Bowes P.S, Greenwood Park W/A Large Basket Ball Court And Mins Drive To Various Banks, Grocery Stores, Etc.",599 Forsyth Farm Dr,L4A0N8,Whitchurch-Stouffville,Unfinished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,1/28/2021,4/15/2021,1/22/2021,1/27/2021,"$1,088,000","$1,265,000","$5,442.16",Forsyth Farm,516,Sld,5,116,4,,5,39.4,2,91,Attached,None,N5091926,"**Entry As In Yr1841318 Town Of Whitchurch-Stouffville Covid Prtcls. Offers Prsntd Jan 27th At 7Pm, Reg By 5. Sellers Rsrvs Right To Review/Work W/Preemp Offer. Sub801 & Sch B W/Offers W/24Hr Irev To Kristy@Trentaduetorres.Com. Buyer/Buyers Agent Ver All Txs, Msrmnts & Prop Info","Don't Miss This Stunning 4 Bedroom, 5 Bathroom Home! The Detail Taken In The Stonework Surrounding The Home Continues Inside W/Many Upgrades And Features! Upgraded Kitchen With Extended Rich Cabinetry, Marble Backsplash & Quartz Counter W/Waterfall Edge. Dark Maple Hardwood, California Shutters, Pot Lights, Garage Access, Finished Basement Complete W/Washroom & Second Floor Laundry W/Quartz Counters! Close To Top Rated Schools, Parks And All Amenities!","*See Virtual Tour. S/S Fridge, S/S Stove, S/S Dishwasher, Washer & Dryer, All Elfs (Excl Dining Room Light), All Window Coverings, Water Softener, Gdo, Cvac, Rev Osm, Sec Cam System, Hwt (Rental) Excl Oval Shelf In Powder Rm, Bsmt Fridge",516 Forsyth Farm Dr,L4A0N3,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/19/2021,6/2/2021,3/12/2021,3/18/2021,"$1,088,000","$1,200,000","$5,529.11",Forsyth Farm,583,Sld,5,110,4,,4,39.4,2,85,Built-In,None,N5149511,"Covid Protocols. Offers Presented March 18th At 7Pm, Register By 5:30Pm. Seller Reserves Right To Review & Accept Preemptive Offers. 5% Dep W/Offer. Sub 801 & Sched B W/Offers W/24Hr Irrev To Bridget@Trentaduetorres.Com. Buyer/Buyers Agent Verify All Txs, Msrmnts & Prop Info.","Meticulously Kept 4 Bedroom Home In An Amazing Family Neighbourhood! Beautiful Double Door Entry And Large Foyer Welcome You Into This Spacious Home! Features Main Floor Office, Large Kitchen With Island And Sliding Door Walkout To Deck And Yard Below. Family Room Is Found Between Main And Second Floor With Soaring 13' Ceilings And Large Windows Allowing For Plenty Of Light Throughout The Day. Walk To Top Rated Schools, Park And All Amenities!","*See Virtual Tour. S/S Fridge, S/S Stove, S/S Dishwasher, Washer & Dryer, Elfs & Window Cov, Water Softener, Gdo W/Remotes, Hwt (Rental) Freezer In Garage (As Is) Excl: Microwave, Alarm System",583 Forsyth Farm Dr,L4A0N8,Whitchurch-Stouffville,Full,Part Fin
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/15/2021,5/22/2021,2/22/2021,,"$1,215,000",,"$5,137.81",Forsyth Farm,571,Ter,20,,4,,3,39.4,2,85,Attached,None,N5125759,Send Your Offer To Merealtor@Yahoo.Com 5% Deposit With Offer Rental Hwt. Sanitize @Enter Leave Lights On Covid Protocols In Place.,"Very Well Maintained Gorgeous Spacious 4 Bedroom Family Home In Desired Neighborhood! Unique Beautiful Main Floor Open Concept With 9' Height Ceiling Hardwood Floors Kitchen & Bath, Backsplash, S/S Appliances, Portlights. Upgrades: Front/Back Yard Interlock (2020) 2nd Floor Hardwood (2018) Kitchen/3 Bath Counter Top (2020), Fridge(2020), Stove (2020), Dishwasher (2017), Entrance Door And Mod Area(2020) Huge Professionally Done Deck (2016) And Water Softener","S/S Fridge, S/S Stove, S/S Dish Washer, White Washer Dryer, All Window Coverings, Garage Door Opener & Remotes. Gas Fireplace. Dining Room Light Fixture, Water Softener",571 Forsyth Farm Dr,L4A0N8,Whitchurch-Stouffville,Full,Unfinished
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/22/2021,5/22/2021,2/26/2021,,"$1,219,000",,"$5,220.00",Forsyth Farm,568,Ter,23,,4,1,4,39.4,4,85,Attached,None,N5129996,"Offer Presentation March 7th @7Pm Pls Reg By 4Pm. .Seller Reserves Right To Accept Any Pre-Emptive Offers .Certify Deposit Cheq & Att Sch ""B,C"" & Form 801. Send Covid Forms And Offers To Thila_t@Hotmail.Com.Seller/Seller Agent Do Not Warrant Retrofit Status Of Bsmt.","Beautiful And Spacious Family Home Situated In One Of The Most Sought Out Communities. Upgrades Include: Hardwood Throughout Ground Floor, California Shutters Throughout The Home, Water Softner, Newly Painted And Pot Lights. Mins Walk To Harry Bowes P.S, Greenwood Park W/A Large Basket Ball Court And Mins Drive To Various Banks, Grocery Stores, Etc.","Washer, Dryer. S/S Stove, Dishwasher, Fridge .Buyer Or Buyer's Agent Has To Verify All The Measurements & Taxes",568 Forsyth Farm Dr,L4A 0N8,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/8/2021,4/27/2021,1/27/2021,2/8/2021,"$1,308,000","$1,280,000","$5,312.80",Forsyth Farm,563,Sld,12,98,4,1,5,39.37,4,85,Attached,None,N5096678,Easy Showing W/ Lb. 5% Certified Deposit. Offer Anytime! Offers If Any Please Email To: Paulxb@Hotmail.Com. Thanks For Showing!,Welcome To This Stunning Family Home Situated In The Best Potential Area Of Stouffville. Too Many Upgrade Features To List! Popular Custom Open Concept Design For Living W/9 Ft Ceiling. Very Bright & Spacious Layout! Contemporary Kitchen W/Granite Countertop. Hardwood Fl Thru/Out. W/O To Gorgeous Deck. Huge Master Ensuite & 3 Full Baths Upstairs. 3rd & 4th Bdrms Are Combined. Finished Bsmt Offers Amazing Media/Gaming Area W/5th Bedrm& Bathrm. A Must See!!!,"S/S Fridge, Stove, Microwave/Hoodfan, Dishwasher. Washer & Dryer. Hardwood Flrs, Pot Lights, California Shutters. Elf's & Window Coverings. Close To Schools, Parks, Transit, Conservation, Shops And So Many More!",563 Forsyth Farm Dr,L4A 0N3,Whitchurch-Stouffville,Finished,Full
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/2/2021,5/31/2021,2/9/2021,,"$1,499,900",,"$6,594.36",Frederick,25,Ter,21,,5,1,4,45,4,130,Attached,None,N5109005,"Showings 1Pm - 7Pm. Email Offers To Leslie@Lesliepatterson.Ca. W/Disclosure Attached: Owner Is R.R.E.B, #801, Sch. B. Covid Protocols Do Not Use Washrooms. Apt Vacant March 1st. Seller Makes No Warranty.","Forever Home Backing Onto Conservation. Custom Built 5+1 Bedroom. Original Owner. All New Windows'19. Metal Roof. Oak Hardwood. 3 Gas Fireplaces. New Furnace'21*. Lower Level Divided Into Rec Room + In-Law Suite W/Private Entrance. Long List Of Features In This 4,000Sqft Of Living Space. Main Floor Office + Formal Entertainment Rooms. Walk-Out To Deck & Enjoy Expansive View; Privacy No Neighbours Northside. 6-Car Parking. Floor Plan Attached.","Arizona Style Landscaping With Water Fountain. Interlock Driveway & Walkway Around To Large Deck. Survey Available. Garden Shed & Appliances ""As Is"" Condition. Excl: 2nd Level Foyer Chandelier & Master Chandelier. Disclosure Attach. *March",25 Frederick St,L4A4T9,Whitchurch-Stouffville,Finished,Sep Entrance
Semi-Detach...,2-Storey,Whitchurch-Stouffville,Stouffville,3/1/2021,4/30/2021,2/19/2021,,"$849,900",,"$3,971.11",Gar Lehman,60,Ter,10,,3,,4,21.92,2,95,Attached,None,N5121061,Lockbox For Easy Showing. All Measurements As Per Builders Plan. Buyers And Buyers Rep To Verify All Measurements And Taxes. Offers Anytime. Email Offers To Rakapaul@Remax.Net.,"**This Is A Rare Find** Gorgeous Home, Nestled On Premium Sunny Ravine Lot-No Neighbors Behind! Tons Of Natural Light! Large Deck W/Unobstructed Ravine Views. Spacious Finished Walkout Bsmt. Lots Of Storage In The House. Ideally Located On Quiet Family-Friendly Rd. Close To Walking Trails, Rouge National Park, Kids Playground Splash Pad. Yet Just Minutes Away To Public & French Immersion School; Shopping, Community Center, Go Transit, Library & Much More","S/S Fridge, S/S Gas Stove, S/S Dishwasher, Built-In Stainless Steel Hood Range, Washer, Dryer, Cac, Elfs, Gazebo, Storage Shed In The Back, Blinds Where Laid.",60 Gar Lehman Ave,L4A0W8,Whitchurch-Stouffville,Finished,W/O
